"ts_code","start_date","start_close","end_date","end_close","pct_gain"
"000890.SZ","20251209","4.46","20251216","7.11","59.42"
"001208.SZ","20251209","12.81","20251216","19.77","54.33"
"603601.SH","20251209","6.33","20251216","9.33","47.39"
"600865.SH","20251209","9.77","20251216","14.38","47.19"
"300265.SZ","20251209","9.99","20251216","14.52","45.35"
"301306.SZ","20251209","66.49","20251216","96.5","45.13"
"002471.SZ","20251209","4.3","20251216","6.17","43.49"
"600693.SH","20251209","12.33","20251216","17.59","42.66"
"600879.SH","20251209","13.29","20251216","17.4","30.93"
"002300.SZ","20251209","9.9","20251216","12.94","30.71"
"301005.SZ","20251209","75.48","20251216","97.5","29.17"
"000592.SZ","20251209","12.02","20251216","15.36","27.79"
"002565.SZ","20251209","13.2","20251216","16.85","27.65"
"001317.SZ","20251209","41.39","20251216","52","25.63"
"002149.SZ","20251209","23.87","20251216","29.81","24.88"
"600678.SH","20251209","12.17","20251216","15.18","24.73"
"300771.SZ","20251209","13.42","20251216","16.72","24.59"
"300997.SZ","20251209","24.7","20251216","30.72","24.37"
"000735.SZ","20251209","8.89","20251216","10.99","23.62"
"000950.SZ","20251209","5.33","20251216","6.58","23.45"
"300423.SZ","20251209","7.76","20251216","9.58","23.45"
"600730.SH","20251209","12.94","20251212","15.91","22.95"
"600343.SH","20251209","32.01","20251216","39.35","22.93"
"300445.SZ","20251209","21.2","20251216","25.97","22.5"
"300516.SZ","20251209","55","20251216","67.21","22.2"
"002639.SZ","20251209","15.73","20251216","19.1","21.42"
"301611.SZ","20251209","53.64","20251216","65.1","21.36"
"603698.SH","20251209","22.86","20251216","27.7","21.17"
"001331.SZ","20251212","16.23","20251216","19.64","21.01"
"603929.SH","20251209","77.01","20251216","92.5","20.11"
"301286.SZ","20251209","38.78","20251216","46.3","19.39"
"600936.SH","20251209","3.41","20251216","4.07","19.35"
"603992.SH","20251209","30.68","20251216","36.6","19.3"
"300342.SZ","20251209","22.6","20251216","26.92","19.12"
"600776.SH","20251209","13.72","20251216","16.29","18.73"
"605055.SH","20251209","8.45","20251216","10.03","18.7"
"002792.SZ","20251209","29.73","20251216","35.21","18.43"
"002157.SZ","20251209","3.1","20251216","3.67","18.39"
"600201.SH","20251209","14.36","20251216","16.98","18.25"
"000007.SZ","20251209","10.16","20251216","12","18.11"
"300963.SZ","20251209","18.4","20251216","21.67","17.77"
"603306.SH","20251209","50.79","20251216","59.8","17.74"
"601778.SH","20251209","3.3","20251216","3.88","17.58"
"603680.SH","20251209","11.93","20251216","14.01","17.44"
"002285.SZ","20251209","2.88","20251216","3.38","17.36"
"601933.SH","20251209","4.75","20251216","5.56","17.05"
"001376.SZ","20251209","12.24","20251216","14.32","16.99"
"605255.SH","20251209","133.48","20251216","156.13","16.97"
"300456.SZ","20251209","55.12","20251216","64.4","16.84"
"605358.SH","20251209","30.16","20251216","35.08","16.31"
"600151.SH","20251209","14.83","20251216","17.18","15.85"
"301468.SZ","20251209","46.07","20251216","53.11","15.28"
"301285.SZ","20251209","58.94","20251216","67.8","15.03"
